Transection ID,User Name,Transection Amount,Amount Type,MobileNo./K.No./E-Mitra CID Code,Date
1,Sammy,450,Recharge-Dish Tv,234976854345,2020-10-28
2,Superdon,236,Recharge-Vodafone,8385885123,2020-10-28
3,Mahendra,1098,Bills Payment-Electricity Bills,7845129865327894,2020-10-31
4,Sammy,399,Recharge-Vodafone,8776655421,2020-10-31
5,Jonny,349,Bills Payment-Water Bills,12345678902345,2020-11-04
6,Superdon,642,Recharge-Airtel,9087876514,2020-11-04
7,Babu,3675,Bills Payment-Water Bills,65743213456,2020-11-21
8,Aman,499,Recharge-Jio,8524632179,2020-11-23
9,Superdon,219,Recharge-Vodafone,78945612321,2020-11-24
10,Superdon,2543,Bills Payment-Water Bills,7894561232145698,2020-11-24
11,Superdon,2897,Recharge-Tata Sky,2345323432,2020-12-26
12,Bhai,449,Recharge-Airtel,9876677898,2020-12-27
13,Sarukh,2000,Recharge-Vodafone,8907654678,2020-12-30
14,Sarukh,1564,Bills Payment-Water Bills,7895413654,2020-12-30
15,Honey,499,Recharge-Jio,7412563215,2021-01-18
16,Honey,300,Recharge-D2h Videocon,8795764563,2021-01-18
17,Honey,2000,Bills Payment-Money Transfer,8907678654,2021-01-22
18,Honey,200,Recharge-Jio,8527419633,2021-02-04
19,Honey,300,Recharge-D2h Videocon,9413158567,2021-02-04
20,Honey,300,Recharge-D2h Videocon,9413158567,2021-02-04
21,Sourav,300,Recharge-Jio,8745219874,2021-02-06
22,Sourav,1034,Bills Payment-Electricity Bills,7894561230147,2021-02-06
23,sameer,499,Recharge-Jio,9509590614,2021-04-15
24,Superdon,300,Recharge-Tata Sky,7894561230,2022-03-11
